MotherShip.UTCGregorian   MotherShip.motherVNB.X    MotherShip.motherVNB.Y    MotherShip.motherVNB.Z    MotherShip.motherVNB.VX   MotherShip.motherVNB.VY   MotherShip.motherVNB.VZ   
01 Jan 2028 16:19:12.000   1366.424191406264         -9.094947017729282e-13    49096.97079660691         2.606323681288324         0                         1.734723475976807e-17     
01 Jan 2028 16:33:36.000   1389.157626132545         -9.094947017729282e-13    49159.50453755345         2.607030097667748         -2.775557561562891e-17    3.989863994746656e-17     
01 Jan 2028 16:48:00.000   1409.306064642832         0                         49223.0216249395          2.607789904947003         -2.775557561562891e-17    -1.214306433183765e-17    
01 Jan 2028 17:02:24.000   1426.827016697701         0                         49287.4053355828          2.608602009973186         -2.775557561562891e-17    8.673617379884035e-18     
01 Jan 2028 17:16:48.000   1441.683272321421         -9.094947017729282e-13    49352.53710453113         2.609465227921326         0                         -1.040834085586084e-17    
01 Jan 2028 17:31:12.000   1453.842980171679         9.094947017729282e-13     49418.29673577561         2.610378284603083         -1.387778780781446e-17    2.255140518769849e-17     
01 Jan 2028 17:45:36.000   1463.279716528479         0                         49484.56261308312         2.61133981870535          -2.775557561562891e-17    -1.561251128379126e-17    
01 Jan 2028 18:00:00.000   1469.972547974561         -9.094947017729282e-13    49551.21196204105         2.612348384779042         5.551115123125783e-17     -6.938893903907228e-18    
01 Jan 2028 18:14:24.000   1473.906075856947         0                         49618.12104809196         2.613402455021307         -1.387778780781446e-17    -1.179611963664229e-16    
01 Jan 2028 18:28:48.000   1475.070472207639         0                         49685.16544774095         2.614500422343085         0                         -9.540979117872439e-17    
01 Jan 2028 18:43:12.000   1473.461500972862         9.094947017729282e-13     49752.22025148253         2.615640602204167         6.938893903907228e-18     -8.673617379884035e-17    
01 Jan 2028 18:57:36.000   1469.0805290849           -9.094947017729282e-13    49819.16034077256         2.616821235784446         -1.387778780781446e-17    1.552577510999242e-16     
01 Jan 2028 19:12:00.000   1461.934522936592         9.094947017729282e-13     49885.86059266116         2.618040491812564         1.387778780781446e-17     1.899522206194604e-16     
01 Jan 2028 19:26:24.000   1452.03603454214          -9.094947017729282e-13    49952.19615904536         2.619296470475049         6.938893903907228e-18     1.405126015541214e-16     
01 Jan 2028 19:40:48.000   1439.403173706839         -9.094947017729282e-13    50018.04269151437         2.620587205080267         -3.035766082959412e-17    1.110223024625157e-16     
01 Jan 2028 19:55:12.000   1424.059572890669         0                         50083.27657411649         2.621910665426323         -6.938893903907228e-18    -1.466925539372887e-16    
01 Jan 2028 20:09:36.000   1406.034333174883         9.094947017729282e-13     50147.77519967053         2.623264761318223         3.469446951953614e-18     3.321995456495586e-16     
01 Jan 2028 20:24:00.000   1385.361970521165         -9.094947017729282e-13    50211.41717493329         2.624647345199316         6.938893903907228e-18     -2.862293735361732e-17    
01 Jan 2028 20:38:24.000   1362.082339264444         -9.094947017729282e-13    50274.08259492871         2.626056216123641         0                         1.804112415015879e-16     
01 Jan 2028 20:52:48.000   1336.240554514098         0                         50335.65326848773         2.627489123084646         2.081668171172169e-17     -2.576064361825559e-16    
