SC8.UTCGregorian           SC8.EnceladusICRF.X       SC8.EnceladusICRF.Y       SC8.EnceladusICRF.Z       SC8.EnceladusICRF.VX      SC8.EnceladusICRF.VY      SC8.EnceladusICRF.VZ      
04 Jan 2028 00:33:31.901   -16.17491149902344        288.240013718605          -444.1310475468636        -0.07992835557596933      0.0603638253897858        0.04228652569198754       
04 Jan 2028 00:36:22.756   -29.81743955612183        298.3359110355377         -436.575295984745         -0.07975118598725928      0.05780175517590558       0.0461491907992615        
04 Jan 2028 00:39:16.700   -43.6663978099823         308.1567394137383         -428.2105938494205        -0.07946612986953028      0.05510274104457857       0.05001675860053822       
04 Jan 2028 00:42:50.413   -60.59921669960022        319.5677785873413         -417.0218031704426        -0.07897059379544658      0.05166347965012341       0.05467425749913968       
04 Jan 2028 00:43:12.000   -62.30334734916687        320.6792272925377         -415.836516648531         -0.07891159060380204      0.05130861393604325       0.05513871858737396       
04 Jan 2028 00:43:46.760   -65.04462695121765        322.4527516961098         -413.9069212377071        -0.0788131209257763       0.05073435055837505       0.05588422978201901       
04 Jan 2028 00:44:31.510   -68.56852984428406        324.7064567804337         -411.3847300112247        -0.07868005509156717      0.04998988357853928       0.05683964500901517       
04 Jan 2028 00:45:35.867   -73.62566089630127        327.8889396190643         -407.682711660862         -0.07847623160961703      0.04890906064649658       0.05820500334578238       
04 Jan 2028 00:47:01.109   -80.30289387702942        331.9964278936386         -402.644636452198         -0.0781835793359491       0.04745913126340406       0.05999742012483456       
04 Jan 2028 00:48:41.124   -88.10388088226318        336.6568844914436         -396.5398144125938        -0.0778071263104998       0.0457314748087827        0.06207662566675953       
04 Jan 2028 00:50:44.252   -97.65311050415039        342.1548140048981         -388.7406752705574        -0.07729435994093592      0.04356568901592706       0.0646000124142061        
04 Jan 2028 00:52:57.443   -107.907662153244         347.7987033128738         -379.9573368728161        -0.07667801621526493      0.04117514317240367       0.06728303329483065       
04 Jan 2028 00:55:23.684   -119.0672159194946        353.6248890757561         -369.9058183133602        -0.0759268819588641       0.03849392890611969       0.0701711426658056        
04 Jan 2028 00:57:36.000   -129.064793586731         358.5549434423447         -360.4512149989605        -0.07517960727760098      0.03601786697658715       0.07273011012674768       
04 Jan 2028 01:00:06.865   -140.337583065033         363.7722598314285         -349.26272970438          -0.07424840562781299      0.03313743979601225       0.07558261141688405       
04 Jan 2028 01:03:04.593   -153.4281568527222        369.3545558452606         -335.537709236145         -0.0730420476914837       0.02966729985753247       0.07885006414236351       
04 Jan 2028 01:06:25.009   -167.9187858104706        374.900168299675          -319.3760764300823        -0.07153803563501526      0.0256567803934995        0.08240798862994758       
04 Jan 2028 01:09:51.073   -182.4871125221252        379.7532693743706         -302.0304134488106        -0.0698306492274412       0.02142867657381031       0.08591847314745138       
04 Jan 2028 01:12:00.000   -191.4166021347046        382.3425326347351         -290.816075116396         -0.06867832357781722      0.0187309972822276        0.08803483116616384       
04 Jan 2028 01:14:53.101   -203.1637976169586        385.2671033143997         -275.3382799625397        -0.06702819002256888      0.01504776613529835       0.09077474701349253       
