MotherShip.UTCGregorian   MotherShip.MothershipCentralBodyICRF.X   MotherShip.MothershipCentralBodyICRF.Y   MotherShip.MothershipCentralBodyICRF.Z   MotherShip.MothershipCentralBodyICRF.VX   MotherShip.MothershipCentralBodyICRF.VY   MotherShip.MothershipCentralBodyICRF.VZ   
02 Jan 2028 00:57:36.000   238257.315994978                         4958.546223759651                        -20879.15631562471                       -0.3959449806803939                       12.52338927027779                         -0.8913043519937442                       
02 Jan 2028 01:12:00.000   237668.868953228                         15769.89342987537                        -21627.37895563245                       -0.9660261858828925                       12.49855864282619                         -0.8403884204664536                       
02 Jan 2028 01:26:24.000   236588.4922914505                        26548.59750962257                        -22330.83683103323                       -1.534477030545055                        12.4478337242525                          -0.7876994429176376                       
02 Jan 2028 01:40:48.000   235018.0971662998                        37272.3119854331                         -22988.04323014617                       -2.100134476191421                        12.37128371746748                         -0.733342664719725                        
02 Jan 2028 01:55:12.000   232960.598732233                         47918.77242290974                        -23597.6039429605                        -2.661837855103546                        12.26902935236103                         -0.6774269346278263                       
02 Jan 2028 02:09:36.000   230419.9131443501                        58465.84098547697                        -24158.22029531002                       -3.218431073893527                        12.14124295348883                         -0.6200645200649104                       
02 Jan 2028 02:24:00.000   227400.9526467323                        68891.55100983381                        -24668.692019701                         -3.768764836774391                        11.9881484200985                          -0.561370914233331                        
02 Jan 2028 02:38:24.000   223909.6187326908                        79174.15152549744                        -25127.91995632648                       -4.311698885674193                        11.81002111593646                         -0.5014646351099126                       
02 Jan 2028 02:52:48.000   219952.7933626175                        89292.15163916349                        -25534.9085765481                        -4.846104254082388                        11.60718766629993                         -0.4404670164046314                       
02 Jan 2028 03:07:12.000   215538.3282318115                        99224.3647031188                         -25888.76832273602                       -5.370865531243751                        11.38002565984549                         -0.378501990590518                        
02 Jan 2028 03:21:36.000   210675.0320770741                        108949.9521834254                        -26188.71775683761                       -5.884883133038667                        11.12896325273894                         -0.3156958641418139                       
02 Jan 2028 03:36:00.000   205372.6560194492                        118448.467143178                         -26434.08551183343                       -6.387075575609678                        10.85447867282815                         -0.2521770851479195                       
