MotherShip.UTCGregorian   MotherShip.motherRIC.X    MotherShip.motherRIC.Y    MotherShip.motherRIC.Z    MotherShip.motherRIC.VX   MotherShip.motherRIC.VY   MotherShip.motherRIC.VZ   
02 Jan 2028 18:00:00.000   48774.4387834572          -1.506350599811412e-12    0                         -0.01430326304112547      -4.440892098500626e-16    0                         
02 Jan 2028 18:14:24.000   48763.50442544293         3.694822225952521e-13     -4.547473508864641e-13    -0.01100153447107331      8.881784197001252e-16     0                         
02 Jan 2028 18:28:48.000   48755.43784856255         -1.676880856393836e-12    0                         -0.007666085041899539     -4.440892098500626e-16    0                         
02 Jan 2028 18:43:12.000   48750.26505379678         2.501110429875553e-12     -4.547473508864641e-13    -0.004304183158085294     -4.440892098500626e-16    5.551115123125783e-17     
02 Jan 2028 18:57:36.000   48748.00573574287         5.343281372915953e-12     0                         -0.0009231456942276513    0                         0                         
02 Jan 2028 19:12:00.000   48748.67325841598         -7.105427357601002e-13    -6.821210263296962e-13    0.002469681603994876      0                         -5.551115123125783e-17    
02 Jan 2028 19:26:24.000   48752.27462635199         3.623767952376511e-12     1.13686837721616e-13      0.005866940853305352      4.440892098500626e-16     0                         
02 Jan 2028 19:40:48.000   48758.81049593206         -3.581135388230905e-12    -1.13686837721616e-13     0.009261282003573356      -4.440892098500626e-16    0                         
02 Jan 2028 19:55:12.000   48768.27517303863         1.77635683940025e-12      1.13686837721616e-13      0.01264538020376012       -4.440892098500626e-16    0                         
02 Jan 2028 20:09:36.000   48780.65666560253         2.351896455365932e-12     -1.4210854715202e-13      0.01601195531973372       -4.440892098500626e-16    0                         
02 Jan 2028 20:24:00.000   48795.93671070183         1.534772309241816e-12     7.318590178329032e-13     0.01935379118734835       4.440892098500626e-16     0                         
02 Jan 2028 20:38:24.000   48814.09084058556         -4.980904577678302e-12    1.13686837721616e-13      0.02266375366641947       4.440892098500626e-16     0                         
02 Jan 2028 20:52:48.000   48835.08847577919         5.329070518200751e-12     2.273736754432321e-13     0.0259348108168917        -4.440892098500626e-16    -5.551115123125783e-17    
02 Jan 2028 21:07:12.000   48858.89300133753         5.471179065352771e-12     6.821210263296962e-13     0.02916005004671111       4.440892098500626e-16     0                         
02 Jan 2028 21:21:36.000   48885.46189617628         -1.70530256582424e-12     2.273736754432321e-13     0.0323326970202906        0                         5.551115123125783e-17     
02 Jan 2028 21:36:00.000   48914.74685178583         1.961097950697877e-12     -9.094947017729282e-13    0.03544613164823063       -4.440892098500626e-16    0                         
02 Jan 2028 21:50:24.000   48946.6939031785          2.842170943040401e-12     -2.273736754432321e-13    0.03849390256253964       4.440892098500626e-16     5.551115123125783e-17     
